,year,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance
count,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0
mean,2012.0862068965516,3.5911330049261085,0.5021551724137931,2.4852216748768474,1.8472906403940887,68214.18719211823,70669.59280922283,0.9666256157635451,4.376847290640394,0.9626896551724119,68092.14532019704
std,3.6971736814980845,2.4181045933212477,0.19158405127143277,1.112678150584569,1.3208041131988697,7822.28633271919,7406.920635267546,0.06798832676850047,1.959681483650607,0.06885552770249785,8016.349230710103
min,2006.0,0.0,0.0,1.0,1.0,32768.0,27080.99173553719,0.68,1.0,0.68,31750.0
25%,2009.0,2.0,0.375,1.25,1.0,63444.0,65504.875,0.94,4.0,0.93425,63155.25
50%,2012.0,3.0,0.5,2.0,1.0,68460.0,69542.05940594058,0.98,4.0,0.9765000000000001,68508.5
75%,2015.0,5.0,0.625,3.0,2.75,72323.5,73597.0,1.0,4.0,1.0,72394.75
max,2018.0,13.0,1.0,4.0,6.0,92721.0,99700.0,1.21,9.0,1.18,92721.0
