,intercept,probowler_count,win%,division,playoffs,capacity,climate
0,67875.5662970597,139.75015483766558,1431.9683087056217,-915.0793816919245,-393.11620427111984,6131.425278818286,-1664.7207846255683
1,67809.92033302953,-25.742109533823676,773.6337599713648,-782.10659081196,-142.1494733703439,5447.9881331461775,-1771.3785238780622
2,68456.22399037919,175.91274992356173,1212.9311646986248,-1041.859721249838,-489.03190447530665,6511.842406582435,-720.0884788016858
3,67982.70472915738,576.4242105308088,949.8338275208553,-980.5494225358156,-560.5175387140356,5844.60693877757,-1206.4465100567315
4,68399.74784495225,197.325864699553,1376.719854085056,-857.4145552423129,-575.3079639971204,6295.4393881551205,-1447.9269984258374
mean,68104.8326389156,212.7341740915531,1149.0173829963046,-915.4019343063701,-432.0246169655853,6046.260429095918,-1362.112259157577
