year,team,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance
2015,tam,5,0.375,4,1,61560.0,65489.36170212767,0.94,4.0,0.92,60624.0
2016,tam,2,0.5625,2,1,60624.0,65895.65217391304,0.92,4.0,0.91,59952.0
2017,tam,2,0.3125,4,1,59952.0,65881.31868131868,0.91,4.0,0.83,54356.0
2018,tam,1,0.3125,4,1,54356.0,65489.156626506025,0.83,4.0,0.7909999999999999,51898.0
2006,oti,1,0.5,2,1,69143.0,67129.12621359223,1.03,4.0,1.03,69143.0
2007,oti,3,0.625,3,2,69143.0,67129.12621359223,1.03,4.0,1.0,69143.0
2008,oti,8,0.8125,1,3,69143.0,69143.0,1.0,4.0,1.0,69143.0
2009,oti,4,0.5,3,1,69143.0,69143.0,1.0,4.0,1.0,69143.0
2010,oti,4,0.375,4,1,69143.0,69143.0,1.0,4.0,1.0,69143.0
2011,oti,0,0.5625,2,1,69143.0,69143.0,1.0,4.0,1.0,69143.0
2012,oti,0,0.375,3,1,69143.0,69143.0,1.0,4.0,1.0,69143.0
2013,oti,1,0.4375,2,1,69143.0,69143.0,1.0,4.0,1.0,69143.0
2014,oti,0,0.125,4,1,69143.0,69143.0,1.0,4.0,0.9,62304.0
2015,oti,2,0.1875,4,1,62304.0,69226.66666666669,0.9,4.0,0.94,64659.0
2016,oti,5,0.5625,2,1,64659.0,68786.17021276598,0.94,4.0,0.95,65651.0
2017,oti,6,0.5625,2,3,65651.0,69106.3157894737,0.95,4.0,0.93,64520.0
2018,oti,3,0.5625,3,1,64520.0,69376.3440860215,0.93,4.0,0.933,64509.0
2006,was,2,0.3125,4,1,87631.0,80395.41284403669,1.09,4.0,1.1,88090.0
2007,was,4,0.5625,3,2,88090.0,80081.81818181818,1.1,4.0,0.97,88604.0
2008,was,4,0.5,4,1,88604.0,91344.32989690722,0.97,4.0,0.93,84794.0
2009,was,2,0.25,4,1,84794.0,91176.3440860215,0.93,4.0,0.91,83172.0
2010,was,3,0.375,4,1,83172.0,91397.8021978022,0.91,4.0,0.84,76921.0
2011,was,1,0.3125,4,1,76921.0,91572.61904761904,0.84,4.0,0.87,79654.0
2012,was,5,0.625,1,2,79654.0,91556.32183908042,0.87,4.0,0.84,77220.0
2013,was,3,0.1875,4,1,77220.0,91928.57142857145,0.84,4.0,0.85,77964.0
2014,was,2,0.25,4,1,77964.0,91722.35294117649,0.85,4.0,0.9,76209.0
2015,was,1,0.5625,1,2,76209.0,84676.66666666669,0.9,4.0,0.96,78304.0
2016,was,5,0.53125,3,1,78304.0,81566.66666666669,0.96,4.0,0.88,75175.0
2017,was,3,0.4375,3,1,75175.0,85426.13636363638,0.88,4.0,0.74,61028.0
2018,was,2,0.4375,3,1,61028.0,82470.27027027027,0.74,4.0,0.799,65488.0
