Team Name,Games ,Total,Average,Percentage,Year
Pittsburgh,8,"514,854","64,356",98,2015
New England,8,"534,632","66,829",97,2015
Kansas City,7,"518,604","74,086",97,2015
NY Giants,8,"632,011","79,001",96,2015
Buffalo,8,"559,047","69,880",96,2015
New Orleans,8,"584,305","73,038",96,2015
NY Jets,8,"625,280","78,160",95,2015
Los Angeles Chargers,8,"534,180","66,772",95,2015
Detroit,8,"490,782","61,347",94,2015
Cincinnati,8,"491,118","61,389",94,2015
Tampa Bay,8,"492,480","61,560",94,2015
Dallas,8,"731,672","91,459",92,2015
Jacksonville,7,"430,247","61,463",92,2015
Cleveland,8,"529,488","66,186",90,2015
Tennessee,8,"498,435","62,304",90,2015
Washington,8,"609,672","76,209",90,2015
Las Vegas,8,"436,910","54,613",87,2015
Los Angeles Rams,8,"419,220","52,402",80,2015
Dallas,8,"720,558","90,069",113,2014
Green Bay,8,"625,114","78,139",107,2014
Minnesota,8,"417,906","52,238",105,2014
Indianapolis,8,"523,004","65,375",104,2014
San Francisco,8,"566,192","70,774",103,2014
Philadelphia,8,"556,768","69,596",103,2014
Las Vegas,8,"459,333","57,416",103,2014
Denver,8,"615,517","76,939",101,2014
Houston,8,"574,132","71,766",101,2014
Chicago,8,"493,449","61,681",100,2014
New Orleans,8,"584,900","73,112",100,2014
Baltimore,8,"568,353","71,044",100,2014
Tennessee,8,"553,144","69,143",100,2014
New England,8,"550,048","68,756",100,2014
Carolina,8,"588,861","73,607",100,2014
Seattle,8,"547,298","68,412",100,2014
Atlanta,7,"493,515","70,502",99,2014
Arizona,8,"495,835","61,979",98,2014
Detroit,8,"504,198","63,024",98,2014
Kansas City,8,"599,743","74,967",98,2014
Pittsburgh,8,"497,811","62,226",96,2014
NY Giants,8,"631,738","78,967",96,2014
NY Jets,8,"625,280","78,160",95,2014
Buffalo,8,"540,180","67,522",94,2014
Jacksonville,7,"440,732","62,961",94,2014
Cincinnati,8,"485,628","60,703",93,2014
Miami,8,"560,280","70,035",93,2014
Cleveland,8,"539,400","67,425",92,2014
Los Angeles Chargers,8,"523,457","65,432",92,2014
Tampa Bay,8,"477,273","59,659",91,2014
Los Angeles Rams,8,"456,146","57,018",87,2014
Washington,8,"623,715","77,964",85,2014
Dallas,8,"704,345","88,043",110,2013
Green Bay,8,"623,577","77,947",107,2013
Indianapolis,8,"527,606","65,950",105,2013
Philadelphia,8,"553,152","69,144",102,2013
Seattle,8,"545,577","68,197",102,2013
Chicago,8,"498,864","62,358",101,2013
Denver,8,"614,977","76,872",101,2013
Houston,8,"573,271","71,658",101,2013
Baltimore,8,"569,084","71,135",100,2013
Tennessee,8,"553,144","69,143",100,2013
New England,8,"550,048","68,756",100,2013
New Orleans,8,"583,210","72,901",100,2013
Minnesota,7,"448,135","64,019",100,2013
Carolina,8,"587,544","73,443",100,2013
San Francisco,8,"557,856","69,732",99,2013
Detroit,8,"510,369","63,796",99,2013
Atlanta,8,"561,795","70,224",99,2013
Kansas City,8,"602,877","75,359",98,2013
Cleveland,8,"569,939","71,242",97,2013
NY Giants,8,"641,184","80,148",97,2013
Cincinnati,8,"506,377","63,297",97,2013
Arizona,8,"488,271","61,033",96,2013
NY Jets,8,"615,656","76,957",93,2013
Buffalo,7,"463,873","66,267",91,2013
Los Angeles Chargers,8,"513,641","64,205",90,2013
Tampa Bay,8,"470,548","58,818",90,2013
Jacksonville,7,"419,581","59,940",89,2013
Pittsburgh,8,"458,489","57,311",88,2013
Los Angeles Rams,8,"455,657","56,957",87,2013
Miami,8,"514,553","64,319",86,2013
Washington,8,"617,767","77,220",84,2013
Las Vegas,8,"403,556","50,444",80,2013
Dallas,8,"708,249","88,531",111,2012
Indianapolis,8,"521,518","65,189",104,2012
Philadelphia,8,"553,152","69,144",102,2012
Seattle,8,"543,570","67,946",101,2012
Chicago,8,"498,633","62,329",101,2012
Houston,8,"573,321","71,665",101,2012
Denver,8,"613,062","76,632",101,2012
Baltimore,8,"570,229","71,278",100,2012
Tennessee,8,"553,144","69,143",100,2012
New England,8,"550,044","68,755",100,2012
New Orleans,8,"583,107","72,888",100,2012
San Francisco,8,"557,856","69,732",99,2012
Carolina,8,"586,347","73,293",99,2012
Detroit,8,"510,158","63,769",99,2012
Atlanta,8,"560,773","70,096",98,2012
NY Giants,8,"643,964","80,495",98,2012
Jacksonville,8,"519,872","64,984",97,2012
Green Bay,8,"564,062","70,507",97,2012
Arizona,8,"487,125","60,890",96,2012
NY Jets,8,"632,704","79,088",96,2012
Minnesota,8,"485,802","60,725",95,2012
Pittsburgh,8,"489,135","61,141",94,2012
Cincinnati,8,"489,504","61,188",93,2012
Cleveland,8,"533,058","66,632",91,2012
Kansas City,8,"548,070","68,508",89,2012
Buffalo,7,"454,653","64,950",89,2012
Washington,8,"637,236","79,654",87,2012
Los Angeles Rams,7,"396,925","56,703",87,2012
Las Vegas,8,"433,732","54,216",86,2012
Los Angeles Chargers,8,"479,716","59,964",84,2012
Tampa Bay,8,"440,819","55,102",84,2012
Miami,8,"459,033","57,379",76,2012
Dallas,8,"684,096","85,512",107,2011
Indianapolis,8,"518,627","64,828",103,2011
Philadelphia,8,"553,152","69,144",102,2011
Chicago,8,"497,166","62,145",101,2011
Houston,8,"571,969","71,496",101,2011
Baltimore,8,"569,792","71,224",100,2011
New Orleans,8,"584,336","73,042",100,2011
Tennessee,8,"553,144","69,143",100,2011
New England,8,"550,048","68,756",100,2011
San Francisco,8,"557,856","69,732",99,2011
Seattle,8,"531,311","66,413",99,2011
Denver,8,"602,618","75,327",99,2011
Detroit,8,"509,940","63,742",99,2011
Minnesota,8,"502,529","62,816",98,2011
Carolina,8,"578,342","72,292",98,2011
Pittsburgh,8,"504,279","63,034",97,2011
Atlanta,8,"551,892","68,986",97,2011
Green Bay,8,"564,097","70,512",97,2011
Arizona,8,"489,455","61,181",97,2011
NY Giants,8,"635,800","79,475",96,2011
NY Jets,8,"631,888","78,986",96,2011
Las Vegas,8,"473,938","59,242",94,2011
Kansas City,8,"576,659","72,082",94,2011
Jacksonville,8,"498,655","62,331",93,2011
Los Angeles Chargers,8,"523,143","65,392",92,2011
Cleveland,8,"526,874","65,859",90,2011
Los Angeles Rams,8,"451,153","56,394",86,2011
Tampa Bay,7,"396,300","56,614",86,2011
Buffalo,7,"438,864","62,694",86,2011
Washington,8,"615,368","76,921",84,2011
Miami,8,"487,089","60,886",81,2011
Cincinnati,8,"394,009","49,251",75,2011
Dallas,8,"696,377","87,047",109,2010
Indianapolis,8,"535,802","66,975",106,2010
Philadelphia,8,"553,152","69,144",102,2010
Chicago,8,"497,561","62,195",101,2010
Baltimore,8,"569,817","71,227",100,2010
Houston,8,"568,643","71,080",100,2010
Seattle,8,"535,942","66,992",100,2010
Tennessee,8,"553,144","69,143",100,2010
New England,8,"550,048","68,756",100,2010
San Francisco,7,"488,124","69,732",99,2010
Arizona,8,"502,197","62,774",99,2010
Carolina,8,"580,965","72,620",98,2010
Denver,8,"599,264","74,908",98,2010
Pittsburgh,8,"504,669","63,083",97,2010
Green Bay,8,"566,362","70,795",97,2010
New Orleans,8,"560,304","70,038",96,2010
NY Giants,8,"632,156","79,019",96,2010
NY Jets,8,"628,768","78,596",95,2010
Atlanta,8,"542,800","67,850",95,2010
Minnesota,8,"470,009","58,751",94,2010
Jacksonville,8,"504,262","63,032",94,2010
Cincinnati,8,"482,917","60,364",92,2010
Los Angeles Chargers,8,"524,241","65,530",92,2010
Washington,8,"665,380","83,172",91,2010
Cleveland,8,"528,933","66,116",90,2010
Miami,8,"541,959","67,744",90,2010
Kansas City,8,"541,380","67,672",88,2010
Detroit,8,"450,286","56,285",87,2010
Buffalo,7,"442,366","63,195",87,2010
Los Angeles Rams,8,"423,383","52,922",81,2010
Tampa Bay,8,"394,513","49,314",75,2010
Las Vegas,8,"371,448","46,431",74,2010
Dallas,8,"718,055","89,756",112,2009
Indianapolis,8,"532,398","66,549",106,2009
Philadelphia,8,"553,152","69,144",102,2009
Chicago,8,"498,000","62,250",101,2009
Seattle,8,"539,141","67,392",101,2009
Baltimore,8,"568,660","71,082",100,2009
Tennessee,8,"553,144","69,143",100,2009
New England,8,"550,048","68,756",100,2009
Arizona,8,"505,143","63,142",100,2009
Minnesota,8,"510,203","63,775",100,2009
Houston,8,"564,864","70,608",99,2009
San Francisco,8,"557,856","69,732",99,2009
Carolina,8,"586,314","73,289",99,2009
Denver,8,"600,928","75,116",99,2009
NY Giants,8,"629,615","78,701",98,2009
Pittsburgh,8,"507,882","63,485",98,2009
Cincinnati,8,"512,032","64,004",98,2009
Green Bay,8,"565,666","70,708",97,2009
New Orleans,8,"560,840","70,105",96,2009
Tampa Bay,7,"440,940","62,991",96,2009
NY Jets,8,"616,420","77,052",96,2009
Buffalo,7,"490,898","70,128",96,2009
